[;110.355943;-7.621738;]
[;110.355724;-7.62196;]
[;110.355193;-7.622346;]
[;110.355107;-7.62241;]
[;110.354786;-7.622575;]
[;110.354599;-7.622676;]
[;110.35445;-7.622665;]
[;110.354349;-7.622627;]
[;110.354114;-7.622565;]
[;110.353982;-7.622571;]
[;110.353763;-7.622635;]
[;110.353497;-7.62277;]
[;110.353294;-7.622932;]
[;110.353138;-7.623042;]
[;110.352997;-7.623075;]
[;110.352669;-7.623147;]
[;110.352216;-7.623327;]
[;110.35206;-7.623392;]
[;110.351825;-7.623402;]
[;110.351466;-7.623373;]
[;110.351294;-7.623366;]
[;110.351013;-7.623337;]
[;110.350833;-7.623328;]
[;110.3507;-7.623366;]
[;110.350607;-7.623472;]
[;110.350357;-7.623721;]
[;110.350208;-7.623783;]
[;110.349614;-7.624035;]
[;110.349263;-7.624717;]
[;110.349115;-7.624857;]
[;110.349029;-7.624939;]
[;110.348943;-7.624996;]
[;110.348654;-7.625163;]
[;110.348505;-7.625205;]
[;110.348185;-7.625307;]
[;110.348021;-7.62541;]
[;110.347888;-7.62547;]
[;110.347669;-7.625522;]
[;110.34749;-7.62556;]
[;110.347154;-7.625558;]
[;110.343603;-7.628199;]
[;110.336364;-7.633246;]
[;110.334798;-7.635284;]
[;110.332438;-7.638353;]
[;110.32477;-7.643704;]
[;110.322255;-7.646501;]
[;110.317224;-7.64869;]
[;110.313053;-7.651973;]
[;110.308084;-7.653979;]
[;110.302747;-7.656837;]
[;110.301029;-7.661761;]
[;110.297348;-7.666504;]
[;110.292502;-7.672523;]
[;110.286245;-7.681338;]
[;110.285018;-7.686263;]
[;110.280907;-7.691916;]
[;110.276552;-7.698543;]
[;110.273607;-7.70213;]
[;110.273607;-7.704987;]
[;110.273055;-7.706689;]
[;110.272074;-7.706993;]
[;110.270724;-7.706932;]
[;110.269622;-7.706395;]
